temporada,cliente,producto,especie,variedad,pdf,url_estudio,url_pdf
2023 – 2024,Adama,LIGHT UP,Cerezo,Santina,2023_2024__ADAMA__LIGHT_UP__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-adama-light-up/,https://ceresearch.com/wp-content/uploads/2024/10/2324041.-INFORME.-ADAMA.-LIGHT-UP.-DORMANCIA-CEREZOS.pdf
2019-2020,BioApply,Ca APPLY,Durazno,Pomona,2019-2020__BIOAPPLY__CA_APPLY__DURAZNO__POMONA.pdf,https://ceresearch.com/estudios/ensayo-bioapply-ca-apply/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Ca-Apply-1fa5bb5c8be2e7e0d0ef0594c651111f.pdf
2016-2017,Chemie,SIBERIO,Cerezo,Bing,2016-2017__CHEMIE__SIBERIO__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-chemie-siberio-3/,https://ceresearch.com/wp-content/uploads/2022/08/Producto-Siberio-5c4f8c36f908cc0c6dba7402fd7807d4.pdf
2017-2018,Compo expert,VITANICA RZ,Manzano,Pink lady,2017-2018__COMPO_EXPERT__VITANICA_RZ__MANZANO__PINK_LADY.pdf,https://ceresearch.com/estudios/ensayo-compo-expert-vitanica-rz/,https://ceresearch.com/wp-content/uploads/2022/09/INFORME.COMPO_.MANZANO.OJO-DE-BUEY.2017-2018.pdf
2024-2025,Corteva Biologicals,X-CYTE,Cerezo,Santina,2024-2025__CORTEVA_BIOLOGICALS__X-CYTE__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-corteva-biologicals-x-cyte-2/,https://ceresearch.com/wp-content/uploads/2025/11/2425020.-INFORME.-CORTEVA.-X-CYTE.-CALIBRE-CEREZO-SANTINA.pdf
2019-2020,Humic,GUIZUFRE,Nectarín,Artic snow,2019-2020__HUMIC__GUIZUFRE__NECTARIN__ARTIC_SNOW.pdf,https://ceresearch.com/estudios/ensayo-humic-guizufre/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Guizufre-97ef76c48dd03abd9485ef545fb28572.pdf
2017-2018,Humic,ZHIMAD,Durazno,Zee lady,2017-2018__HUMIC__ZHIMAD__DURAZNO__ZEE_LADY.pdf,https://ceresearch.com/estudios/ensayo-humic-zhimad/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Zhimad-64c5f600070bf0c58875bedc095ce9ad.pdf
2020-2021,Stoller,PROSTART PLUS,Cerezo,Regina,2020-2021__STOLLER__PROSTART_PLUS__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-prostart-plus-5/,https://ceresearch.com/wp-content/uploads/2022/09/INFORME.2021046.-STOLLER.PROSTART-PLUS.REGINA-CEREZOS.pdf
2019-2020,Tattersall / Daymsa,SYNCRON,Cerezo,Lapins,2019-2020__TATTERSALL_DAYMSA__SYNCRON__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-tattersall-daymsa-syncron-2/,https://ceresearch.com/wp-content/uploads/2022/09/1920018-Tattersal-Syncron-Lapins.pdf
2017-2018,Tavan,WERT,Ciruelo europeo,D’Agen,2017-2018__TAVAN__WERT__CIRUELO_EUROPEO__DAGEN.pdf,https://ceresearch.com/estudios/ensayo-tavan-wert/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Wert-557baa1700892e4512d220726afe8c03.pdf
2018-2019,Vals,NITROBRAKE,Ciruelo japonés,Angeleno,2018-2019__VALS__NITROBRAKE__CIRUELO_JAPONES__ANGELENO.pdf,https://ceresearch.com/estudios/ensayo-vals-nitrobrake-6/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Nitrobrake-249c09b3eb6110939e6c559134001ef4.pdf
NA,CER,«TRANSFERENCIA DE EVALUACIÓN DE VARIEDADES DE HORTALIZAS EXPORTABLES»,Melón,NA,NA__CER__TRANSFERENCIA_DE_EVALUACION_DE_VARIEDADES_DE_HORTALIZAS_EXPORTABLES__MELON__NA.pdf,https://ceresearch.com/estudios/proyecto-transferencia-de-evaluacion-de-variedades-de-hortalizas-exportables-2/,https://ceresearch.com/wp-content/uploads/2022/08/Manual-te╠ucnico-del-Melo╠un-515a2cc3ba624d5f423e4553fc47c47e.pdf
2016-2017,Adama,CORMORAN EC Y RIMON 10 EC,Nogal,Chandler,2016-2017__ADAMA__CORMORAN_EC_Y_RIMON_10_EC__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-adama-cormoran-ec-y-rimon-10-ec/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Cormoran-4a9e43f765fecec21ae7e9fb4d0e125a.pdf
2015-2016,AminoChem,AMINOTERRA,Nogal,Chandler,2015-2016__AMINOCHEM__AMINOTERRA__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-aminochem-aminoterra-2/,https://ceresearch.com/wp-content/uploads/2022/08/Informe-Aminochem-4ba296413c912351c45aabe920ff5c72.pdf
2015-2016,Arysta,SIGNAFRESH,Cerezo,Royal dawn,2015-2016__ARYSTA__SIGNAFRESH__CEREZO__ROYAL_DAWN.pdf,https://ceresearch.com/estudios/ensayo-arysta-signafresh/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Arysta-27943023a66dd7d6d685deb14ceafb91.pdf
2022-2023,Bayer,BAYFOLAN,Cerezo,Lapins,2022-2023__BAYER__BAYFOLAN__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-bayer-bayfolan-2/,https://ceresearch.com/wp-content/uploads/2023/08/2223075.-INFORME.-BAYER.-BAYFOLAN-ALGAE.-CALIBRE-CEREZO.pdf
2015-2016,BioAtlantis,SUPERFIFTY,Cerezo,Bing,2015-2016__BIOATLANTIS__SUPERFIFTY__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-bioatlantis-superfifty/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Zimex-7a16ee1eeb27281515da4f5c0ca1cfe9.pdf
2023-2024,Corteva Biologicals,X-CYTE,Cerezo,Santina,2023-2024__CORTEVA_BIOLOGICALS__X-CYTE__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-corteva-biologicals-x-cyte/,https://ceresearch.com/wp-content/uploads/2024/10/2324019.-INFORME.-CORTEVA-BIOLOGICALS.-X-CYTE.-CALIBRE-CEREZOS.pdf
2021-2022,Sipcam,ABYSS EXTRA,Cerezo,Regina,2021-2022__SIPCAM__ABYSS_EXTRA__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-sipcam-abyss-extra/,https://ceresearch.com/wp-content/uploads/2023/06/2122109.-INFORME.-SIPCAM.-ABYSS-EXTRA.-PRODUCCION-CEREZO-V2-1.pdf
2021-2022,BioAtlantis,BIO-HOLD,Cerezo,Regina,2021-2022__BIOATLANTIS__BIO-HOLD__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-bio-hold-3/,https://ceresearch.com/wp-content/uploads/2022/09/2122084.-INFORME.-STOLLER.-BIO-HOLD.-PRODUCCION-CEREZOS.pdf
2022-2023,Stoller,FLOWER POWER y BIO HOLD,Nogal,Chandler,2022-2023__STOLLER__FLOWER_POWER_Y_BIO_HOLD__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-stoller-flower-power-y-bio-hold/,https://ceresearch.com/wp-content/uploads/2023/08/2223055.-INFORME.-STOLLER.-FLOWER-POWER_BIO-HOLD.-CUAJA-NOGAL.pdf
(2014-2015)-(2015-2016),Valent,UNICONAZOLE-P,Cerezo,Bing,2014-2015_-_2015-2016__VALENT__UNICONAZOLE-P__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-valent-uniconazole-p/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-61d35cbf6c61bd091a713227c2a948f1.pdf
2017-2018,Vals,NITROBRAKE,Cerezo,Lapins,2017-2018__VALS__NITROBRAKE__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-vals-nitrobrake-7/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Nitrobrake-563604b5c2f9064458f518c33a8af69d.pdf
NA,CER,«TRANSFERENCIA DE EVALUACIÓN DE VARIEDADES DE HORTALIZAS EXPORTABLES»,Tomate,NA,NA__CER__TRANSFERENCIA_DE_EVALUACION_DE_VARIEDADES_DE_HORTALIZAS_EXPORTABLES__TOMATE__NA.pdf,https://ceresearch.com/estudios/proyecto-transferencia-de-evaluacion-de-variedades-de-hortalizas-exportables-3/,https://ceresearch.com/wp-content/uploads/2022/08/Manual-te╠ucnico-del-Tomate-3d4d609cb76f19d8cb37bd174a18154d.pdf
2023 – 2024,Agrotrust,PENERGETIC B y PENERGETIC P,Manzano,Rosy glow,2023_2024__AGROTRUST__PENERGETIC_B_Y_PENERGETIC_P__MANZANO__ROSY_GLOW.pdf,https://ceresearch.com/estudios/ensayo-agrotrust-penergetic-b-y-penergetic-p/,https://ceresearch.com/wp-content/uploads/2024/10/2223011.-INFORME.-AGROTRUST.-PENERGETIC.-FERTILIZACION-MANZANO-TEMPORADA-23-24-V4.pdf
2020-2021,BioApply,Ca APPLY,Palto,Hass,2020-2021__BIOAPPLY__CA_APPLY__PALTO__HASS.pdf,https://ceresearch.com/estudios/ensayo-bioapply-ca-apply-3/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Ca-Apply-458081cd8a26e3074ea9e64f29cffbc3.pdf
2024-2025,Haygrove,MACRTÚNEL TOTAL VENT,Cerezo,Santina,2024-2025__HAYGROVE__MACRTUNEL_TOTAL_VENT__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-haygrove-macrotunel-total-vent/,https://ceresearch.com/wp-content/uploads/2025/10/2425005.-INFORME.-HAYGROVE.-DORMANCIA.-CEREZO.pdf
2016-2017,Mipagro,SUNTEC,Ciruelo japonés,Red heart,2016-2017__MIPAGRO__SUNTEC__CIRUELO_JAPONES__RED_HEART.pdf,https://ceresearch.com/estudios/ensayo-mipagro-suntec/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-MipAgro-d05117be5a97588d2596c37176759311.pdf
2018-2019,Stoller,PROSTART PLUS,Cerezo,Regina,2018-2019__STOLLER__PROSTART_PLUS__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-prostart-plus-3/,https://ceresearch.com/wp-content/uploads/2022/09/1819033.-Informe-Stoller.-Prostart-Plus.-Cerezo.-Regina.-2018-2019.pdf
2021-2022,Stoller,PROSTART PLUS,Cerezo,Santina,2021-2022__STOLLER__PROSTART_PLUS__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-prostart-plus-7/,https://ceresearch.com/wp-content/uploads/2022/09/2122015.-INFORME.-STOLLER.-PROSTART-PLUS.-DORMANCIA-CEREZO.pdf
2021-2022,SUMMITAGRO,MAMULL WP,Cerezo,Lapins,2021-2022__SUMMITAGRO__MAMULL_WP__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-summit-agro-mamull-wp/,https://ceresearch.com/wp-content/uploads/2023/07/2122012.-INFORME.-SUMMIT-AGRO.-MAMULL.-ENFERMEDADES-DE-LA-MADERA-CEREZO-V2.pdf
2020-2021,Tattersall /Daymsa,SYNCRON,Cerezo,Lapins,2020-2021__TATTERSALL_DAYMSA__SYNCRON__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-tattersall-daymsa-syncron-3/,https://ceresearch.com/wp-content/uploads/2022/09/2021010.TATTERSALL-DAYMSA.-SYNCRON.-LAPINS.-INFORME..pdf
2015-2016,Valent,RETAIN,Ciruelo europeo,D’Agen,2015-2016__VALENT__RETAIN__CIRUELO_EUROPEO__DAGEN.pdf,https://ceresearch.com/estudios/ensayo-valent-retain-3/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-de48a0b4aebd5b7949bedd074b72799c.pdf
2016-2017,Zimex,SUPERFIFTY,Ciruelo japones,Larry ann,2016-2017__ZIMEX__SUPERFIFTY__CIRUELO_JAPONES__LARRY_ANN.pdf,https://ceresearch.com/estudios/ensayo-zimex-superfifty/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Super-Fifty-dcac816c086af184293c1e5ec3b304f0.pdf
2022 – 2023,AGRÍCOLA REGIA,COMPOST,Cerezo,Santina,2022_2023__AGRICOLA_REGIA__COMPOST__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-agricola-regia-compost/,https://ceresearch.com/wp-content/uploads/2023/10/2223015.-INFORME.-AGRICOLA-REGIA.-COMPOST-CEREZOS-1.pdf
2020-2021,BioAgro,PROBO 53 VF,Cerezo,Regina,2020-2021__BIOAGRO__PROBO_53_VF__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-bioagro-probo-53-vf/,https://ceresearch.com/wp-content/uploads/2022/10/BIOAGRO.-PROBO-53-VF.-CANCER-BACTERIAL.pdf
2015-2016,Bioamerica,ERGER,Cerezo,Bing,2015-2016__BIOAMERICA__ERGER__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-bioamerica/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Bioamerica-9cc9f765588cf80cde2e3a99f8b648ee.pdf
2020-2021,Iansa,B PROTECT y SILITEC Q,Cerezo,Regina,2020-2021__IANSA__B_PROTECT_Y_SILITEC_Q__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-iansa-b-protect-y-silitec-q/,https://ceresearch.com/wp-content/uploads/2022/09/INFORME.IANSA_.B-PROTECT-Y-SILITEC-Q.REGINA.CEREZOS.2021002.pdf
2015-2016,Kelpak,KELPAK,Cerezo,Lapins,2015-2016__KELPAK__KELPAK__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-kelpak-kelpak-7/,https://ceresearch.com/wp-content/uploads/2023/09/CER.-Kelp-Products.-Kelpak.-Calibre.-Cerezos-Lapins-.2015-2016.pdf
2021-2022,Probo,PROBO 53 VF,Cerezo,Santina,2021-2022__PROBO__PROBO_53_VF__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-probo-probo-53-vf/,https://ceresearch.com/wp-content/uploads/2022/09/2122067.-INFORME.-PROBO-SPA.-PROBO-53-VF.-PRODUCCION-Y-CALIDAD-CEREZOS.pdf
2019-2020,Pucalan,BIOESTABILIZADOS,Cerezo,Bing,2019-2020__PUCALAN__BIOESTABILIZADOS__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-pucalan-bioestabilizados-2/,https://ceresearch.com/wp-content/uploads/2022/09/1819123.-Informe-Ano-2.-Pucalan.-Guanos.-Produccion.-Cerezo-Bing.-2019-2020-2.pdf
2018-2019,Tavan,PROGRAMA TAVAN,Cerezo,Bing,2018-2019__TAVAN__PROGRAMA_TAVAN__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-tavan-programa-tavan-2/,https://ceresearch.com/wp-content/uploads/2022/09/Informe.Tavan_.Programa-Wert.Cerezo-2018-2019.pdf
2018-2019,Tavan,PROGRAMA TAVAN,Cerezo,Bing,2018-2019__TAVAN__PROGRAMA_TAVAN__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-tavan-programa-tavan/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Programa-Tavan-79687db558fef56cf0d45e06e94af757.pdf
2015-2016,Valent,HALMARK 75 EC,Vid,Cabernet sauvignon,2015-2016__VALENT__HALMARK_75_EC__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-valent-halmark-75-ec/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-eb71e18f91d678360d383352133c3972.pdf
2018-2019,Agroenzymas,ROOTING,Cerezo,Bing,2018-2019__AGROENZYMAS__ROOTING__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-agroenzymas-rooting-2/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Rooting-434e99c99a217495bd33bbeab9cc7e9e.pdf
2021-2022,AgroTrust,PROGRAMA PENERGETIC,Nogal,Chandler,2021-2022__AGROTRUST__PROGRAMA_PENERGETIC__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-agrotrust-programa-penergetic/,https://ceresearch.com/wp-content/uploads/2022/09/2021224.-INFORME.-AGROTRUST.-PENERGETIC.-ESTRES-HIDRICO-NOGAL.pdf
